country	state_province	city	address	postcode	latitude	longitude
Canada	Alberta	Red Deer County	104-1 Junction Drive	T0M 1R0	52.144265	-113.8240329
Canada	Alberta	Edmonton	16955 109 Ave Nw	T5P 4P6	53.555963	-113.6147396
Canada	Alberta	Amherst	Airport Post-security	T9H 0G3	51.657864	-85.902771
Canada	Alberta	Edmonton	10220 104 Ave Nw	T5H 2X6	53.5467936	-113.4977946
Canada	Alberta	Mayerthorpe	4819 42 Ave	T0E 1N0	53.946944	-115.137673
Canada	Alberta	Calgary	400 Barlow Square Se	T2C 5S5	50.97479322	-113.9787873
Canada	Alberta	239334|109666	11503 Buffalo Run Blvd	T0L 1W0	50.874955	-114.3753886
Canada	Alberta	Bowden	2 Heritage Drive	T0M 0K0	51.932523	-114.02593
Canada	Alberta	Calgary	"177 Country Hills Blvd Nw, Unit 238"	T3K 4W4	51.1483136	-114.0717468
Canada	Alberta	239638|109698	"#1, 107 Hawthorn Way,"	T9E 0B1	53.266904	-113.604399
Canada	Alberta	Fairview	11104-100 Avenue	T0H 1L0	56.064761	-118.3868015
Canada	Alberta	St. Albert	10 Rose Gate #310	T8N 7Y3	53.630415	-113.657886
Canada	Alberta	239852|109727	1 Dalton Link	T7X 3E8	53.559724	-113.888167
Canada	Alberta	240044|109752	Beaverhill Rd & 91st Av	T0A 2C0	54.75373592	-111.9684239
Canada	Alberta	240152|109781	4331 Hwy 16 W	T0E 2K0	53.579515	-114.540025
Canada	Alberta	Fox Creek	215 3rd St E	T0H 1P0	54.395184	-116.792526
Canada	Alberta	Rimbey	"Bay 5, 5201 43rd Street"	T0C 2J0	52.6429655	-114.2222614
Canada	Alberta	High Prairie	3801 51st Ave	T0G 1E0	55.428808	-116.454145
Canada	Alberta	Edmonton	15830 87 Ave	T5R 5Z1	53.5194054	-113.5955147
Canada	Alberta	Edmonton	20108 Lessard Road Nw	T6M 0T9	53.477894	-113.673894
Canada	Alberta	Edmonton	10215 108 St Nw	T5J 1L6	53.5438569	-113.5054109
Canada	Alberta	Fort mcmurray	"Syncrude 41b, Building 41b."	T9H 3L1	56.752082	-111.449452
Canada	Alberta	Fort mcmurray	"Syncrude 41a, Building 41a mildred lake"	T9H 3L1	56.752082	-111.449452
Canada	Alberta	Fort Mcmurray	"Syncrude Aurora, Highway 63 Aurora Mine"	T9H 3L1	56.70890255	-111.3771071
Canada	Alberta	Calgary	6455 Macleod Trail Sw	T3C 1S2	50.99797185	-114.0735897
Canada	Alberta	Calgary	Unit 115 9182 Airport Link Ne	T2E 6W5	51.13426155	-114.004544
Canada	Alberta	878320|120076	"1155 - Cornerstone Blvd Ne, Boulevard Ne"	T3N 2E9	51.149378	-113.93777
Canada	Alberta	878646|120143	"43 - Athapaskan Dr, Unit 101"	T9E 1P7	53.2550327	-113.5474576
Canada	Alberta	Edmonton	11610 65 Ave Nw	T6G 2E1	53.5023765	-113.532655
Canada	Alberta	879379|120287	87th Ave & 116 Th Street	T6G 2H6	53.431751	-113.439244
Canada	Alberta	879457|120319	Hwy 28a	T0A 1N0	53.839521	-113.321782
Canada	Alberta	879592|120365	"Suncor Base Plant, 2g2c+f2"	T9H 3E3	0	0
Canada	Alberta	Calgary	"2000 Airport Rd Ne,  International Airport"	T2E 6W5	51.131816	-114.010983
Canada	Alberta	Calgary	"2000 Airport Rd. Ne,  International Airport"	T2E 6W5	51.131816	-114.010983
Canada	Alberta	880390|120681	22915 97 Ave Nw	T5T 7J2	53.536546	-113.71191
Canada	Alberta	882522|120795	7007 14 St. Sw	T2V 1P9	50.990983	-114.095574
Canada	Alberta	882523|120794	28 - Oki Dr Nw	T3B 6A8	51.074315	-114.147788
Canada	Alberta	882526|120799	3500 26th Av. Ne	T1Y 6J4	51.078047	-113.982844
Canada	Alberta	Calgary	"Arthur Je Child Comprehensive Cancer Centre, 3395 Hospital Drive Nw"	T2N 4N1	51.06692754	-114.1360614
Canada	Alberta	Calgary	130 -   8810  Macleod Trl Se	T2H 0M4	50.973355	-114.070893
Canada	Alberta	Cochrane	1105-23 Heartland Blvd	T4C 2V4	51.2035462	-114.5053325
Canada	Alberta	89511|108973	5292 - Ellerslie Rd Sw	T6X 1A4	53.4247512	-113.49427
Canada	Alberta	Airdrie	185 East Lake Cres Ne	T4A 2H7	51.2863369	-113.9990414
